ID,Date,Site,Species,P1,P2,P3,P4
1,10/16/2013,US eFishing,Coho,5,2,0,0
2,10/6/2014,US eFishing,Coho,6,0,0,0
3,11/2/2020,US eFishing,Coho,8,10,3,0
4,10/16/2013,US eFishing,Steelhead,146,60,33,0
5,10/6/2014,US eFishing,Steelhead,48,47,19,0
6,8/22/2018,US eFishing,Steelhead,47,37,53,5
7,8/20/2019,US eFishing,Steelhead,121,70,34,0
8,11/2/2020,US eFishing,Steelhead,50,28,20,0
9,10/15/2013,LS eFishing,Coho,5,1,1,0
10,10/3/2014,LS eFishing,Coho,14,7,0,0
11,8/23/2018,LS eFishing,Coho,2,1,0,0
12,10/15/2013,LS eFishing,Steelhead,49,37,16,0
13,10/3/2014,LS eFishing,Steelhead,67,32,19,0
14,8/23/2018,LS eFishing,Steelhead,50,8,13,7
15,8/19/2019,LS eFishing,Steelhead,56,36,22,0
16,10/21/2020,LS eFishing,Steelhead,7,4,3,0
17,10/21/2013,BC eFishing,Coho,2,0,0,0
18,8/24/2018,BC eFishing,Coho,1,0,0,0
19,10/21/2013,BC eFishing,Steelhead,61,27,16,0
20,10/7/2014,BC eFishing,Steelhead,42,10,8,0
21,8/24/2018,BC eFishing,Steelhead,77,45,29,0
22,8/21/2019,BC eFishing,Steelhead,94,38,17,0
23,11/9/2020,BC eFishing,Steelhead,41,19,7,0
