ID,Date,Site,Pop_Estimate,Std_Error,X95_LCI,X95_UCI
1,10/15/2013,LS eFishing,133,12.6978409,108.1126891,157.8873109
2,10/3/2014,LS eFishing,155,7.8340932,139.6454594,170.3545406
3,8/23/2018,LS eFishing,84,2.736,78.63753,89.3624
4,8/19/2019,LS eFishing,146,16.7200647,113.2292753,178.7707247
5,10/21/2020,LS eFishing,15,2.5526846,9.9968301,20.0031699
6,10/16/2013,US eFishing,269,8.730986,251.8875819,286.1124181
7,10/6/2014,US eFishing,156,18.3549931,120.0248745,191.9751255
8,8/22/2018,US eFishing,190,22.18,146.52,233.4751
9,8/20/2019,US eFishing,264,14.3019062,235.968779,292.031221
10,11/2/2020,US eFishing,154,17.9026776,118.9113968,189.0886032
11,10/21/2013,BC eFishing,118,6.8018771,104.6685658,131.3314342
12,10/7/2014,BC eFishing,62,2.3449952,57.4038939,66.5961061
13,8/24/2018,BC eFishing,190,17.0030787,156.674578,223.325422
14,8/21/2019,BC eFishing,159,5.3595321,148.4955101,169.5044899
15,11/9/2020,BC eFishing,71,3.4851167,64.1692968,77.8307032
